file_path,style,style_id
/Users/hp/wikiart/Abstract_Expressionism/bradley-walker-tomlin_number-7-1953.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/henri-matisse_bees-1948.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/bui-xuan-phai_abstract.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/cy-twombly_untitled-peony-blossom-painting.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/conrad-marca-relli_multiple-d-1969.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/salvador-dali_et-baptizatus-est-a-ioanne-in-iordane-luke-3-3.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/mark-tobey_two-men-walking-1964.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/jay-defeo_untitled-1957.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/william-baziotes_the-beach-1955.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/lee-krasner_mysteries-1972.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/joan-miro_not_detected_227941.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/jane-frank_aerial-view-no-1-1968.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/hedda-sterne_alaska-1-1958.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/sam-francis_untitled-sf76-176-1976.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/salvador-dali_group-surrounding-a-reclining-nude-velazquez-1981.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/sam-francis_blue-violet-1963.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/joan-miro_catalan-peasant-in-the-moonlight.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/john-hoyland_saracen-1977.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/paul-jenkins_not_detected_235700.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/hans-hofmann_untitled-1950.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/brice-marden_st-barts-10-1991.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/conrad-marca-relli_untitled-1978-1.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/sam-francis_untitled-sfp-89-57-1989.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/cy-twombly_coronation-of-sesostris.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/victor-pasmore_the-passion-flower-1986.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/sam-francis_untitled-sf143s.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/sam-francis_untitled-from-pasadena-box-lembark-l60-1963.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/mark-tobey_new-world-dimensions-iv.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/milton-resnick_untitled-1960.jpg,Abstract Expressionism,1
/Users/hp/wikiart/Abstract_Expressionism/paul-jenkins_side-of-st-george.jpg,Abstract Expressionism,1
